Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5,Edge Device 6,Edge Device 7,Edge Device 8,Edge Device 9,Edge Device 10
1804010725,114,333,28,87,1,54,58,104,60,5
1804010726,107,316,31,90,1,56,59,105,61,3
1804010727,114,310,31,91,1,57,57,107,60,3
1804010728,105,318,33,89,1,58,55,110,58,3
1804010729,110,319,32,89,1,64,55,107,49,3
1804010730,116,335,31,93,1,59,54,106,48,3
1804010731,111,330,31,96,1,53,52,114,50,3
1804010732,115,332,31,87,1,52,55,116,55,3
1804010733,117,300,31,97,1,57,53,116,58,3
1804010734,116,300,30,102,1,55,53,107,58,3
1804010735,114,303,29,99,2,59,55,111,54,4
1804010736,115,307,26,102,2,54,53,111,54,4
1804010737,116,312,26,90,2,58,54,110,53,3
1804010738,108,306,27,91,2,60,55,110,60,4
1804010739,114,309,28,92,2,57,54,104,63,4
1804010740,112,324,30,95,2,57,54,107,59,3
1804010741,107,331,29,97,2,52,55,109,60,3
1804010742,111,337,29,97,3,54,54,111,56,3
1804010743,106,334,29,106,3,56,52,110,50,3
1804010744,109,343,29,108,3,59,53,110,55,3
1804010745,102,324,28,113,3,54,55,103,61,3
1804010746,97,351,28,102,3,56,53,101,53,3
1804010747,97,341,27,100,2,60,57,103,54,3
1804010748,102,334,28,98,2,59,53,110,56,3
1804010749,99,339,29,97,1,60,53,102,57,2
1804010750,107,345,31,98,1,60,53,102,59,2
1804010751,110,345,30,105,1,55,55,109,61,3
1804010752,113,348,29,105,1,58,53,112,62,3
1804010753,112,354,29,101,1,58,52,111,61,3
1804010754,116,347,28,110,1,58,51,104,56,3
1804010755,119,337,28,104,1,59,54,110,54,3
1804010756,119,341,29,95,1,57,54,106,66,3
1804010757,112,343,28,94,1,58,55,104,64,3
1804010758,108,341,29,101,1,57,53,106,70,4
1804010759,111,353,26,100,1,63,52,106,71,4
1804010800,118,345,27,104,1,62,51,104,70,4
1804010801,123,350,28,99,1,59,53,110,71,4
1804010802,121,361,31,94,1,61,53,108,72,4
1804010803,118,375,33,97,1,61,52,103,64,4
1804010804,113,382,31,102,1,68,53,112,68,4
1804010805,122,382,32,107,1,73,51,101,69,4
1804010806,125,370,30,107,1,75,53,103,70,4
1804010807,130,370,30,110,1,70,51,107,73,4
1804010808,123,367,30,106,1,67,49,107,80,3
1804010809,125,379,29,106,1,68,50,93,77,3
1804010810,119,388,29,108,1,74,52,92,81,3
1804010811,119,385,29,113,1,74,51,84,78,3
1804010812,124,383,32,119,1,75,52,83,77,3
1804010813,121,379,32,119,1,73,53,85,79,3
1804010814,122,365,33,119,0,74,54,90,80,3
1804010815,121,365,33,112,0,71,58,91,81,3
1804010816,121,371,35,109,0,72,57,92,82,3
1804010817,124,376,33,107,0,74,61,90,81,3
1804010818,133,369,35,105,0,73,60,98,86,3
1804010819,139,368,33,105,0,69,60,98,88,4
1804010820,127,367,32,108,0,74,60,92,88,4
1804010821,132,367,35,109,0,73,58,91,83,4
1804010822,131,373,35,97,0,72,58,90,80,4
1804010823,134,370,35,104,0,73,55,86,78,4
1804010824,131,387,36,103,2,75,57,86,83,4
1804010825,141,381,35,107,1,77,57,87,85,4
1804010826,142,370,34,109,1,77,55,86,85,5
1804010827,133,377,32,116,1,75,53,89,83,5
1804010828,136,376,34,115,1,73,52,85,84,4
1804010829,133,375,34,117,1,70,52,86,87,4
1804010830,132,371,32,128,1,77,51,85,92,4
1804010831,128,378,30,121,0,76,51,86,89,4
1804010832,130,387,32,119,0,82,52,89,86,6
1804010833,137,385,32,122,0,78,51,90,86,2
1804010834,135,377,33,119,0,82,54,85,91,3
1804010835,134,382,32,118,1,77,53,87,92,2
1804010836,132,399,35,121,1,83,52,92,99,1
1804010837,126,390,31,123,1,86,49,86,95,1
1804010838,135,400,30,126,1,76,48,84,93,1
1804010839,130,388,30,129,1,79,47,73,91,1
1804010840,122,380,30,122,1,81,45,80,92,1
1804010841,127,388,29,119,0,79,46,87,94,1
1804010842,127,385,28,115,0,83,47,79,97,1
1804010843,123,390,28,124,0,87,48,81,99,1
1804010844,125,390,27,128,0,85,48,82,98,1
1804010845,120,413,29,137,0,80,48,80,104,1
1804010846,117,415,28,141,0,81,49,75,101,1
1804010847,119,414,29,140,0,77,49,79,106,3
1804010848,115,413,31,140,0,77,50,78,103,3
1804010849,123,405,32,140,0,72,48,78,97,3
1804010850,119,400,32,152,0,76,46,76,100,3
1804010851,120,381,33,143,0,84,48,81,91,3
1804010852,125,400,33,141,0,80,47,82,97,3
1804010853,137,407,33,139,0,74,45,85,104,3
1804010854,132,397,32,142,0,73,45,86,101,2
1804010855,123,397,32,142,1,74,43,87,105,3
1804010856,130,404,33,138,1,83,44,96,102,4
1804010857,132,416,34,143,2,83,45,96,101,3
1804010858,131,414,34,140,2,81,41,95,99,4
1804010859,129,409,35,144,2,74,42,90,101,4
1804010900,131,427,33,150,2,71,41,90,98,4
1804010901,132,432,34,157,2,69,45,97,95,3
1804010902,120,433,31,162,2,75,45,103,101,3
1804010903,120,438,30,155,2,73,49,103,106,3
1804010904,124,443,30,150,0,72,50,96,108,3
1804010905,119,443,28,146,0,79,51,101,106,4
